law_id,html_exists,parsed_exists,status
01-1997-QH10,True,True,ok
01-2002-QH11,True,True,ok
01-2007-QH12,True,True,ok
01-2011-QH13,True,True,ok
01-2016-QH14,True,True,ok
01-2021-QH15,True,True,ok
02-1997-QH10,True,True,ok
02-2002-QH11,True,True,ok
02-2007-QH12,True,True,ok
02-2011-QH13,True,True,ok
02-2016-QH14,True,True,ok
02-2021-QH15,True,True,ok
03-1998-QH10,True,True,ok
03-2003-QH11,True,True,ok
03-2007-QH12,True,True,ok
03-2011-QH13,True,True,ok
03-2016-QH14,True,True,ok
03-2022-QH15,True,True,ok
03-L-CTN,True,True,ok
04-1998-QH10,True,True,ok
04-2003-QH11,True,True,ok
04-2007-QH12,True,True,ok
04-2011-QH13,True,True,ok
04-2017-QH14,True,True,ok
04-2022-QH15,True,True,ok
05-1998-QH10,True,True,ok
05-2003-QH11,True,True,ok
05-2007-QH12,True,True,ok
05-2011-QH13,True,True,ok
05-2017-QH14,True,True,ok
05-2022-QH15,True,True,ok
06-1998-QH10,True,True,ok
06-2003-QH11,True,True,ok
06-2007-QH12,True,True,ok
06-2012-QH13,True,True,ok
06-2017-QH14,True,True,ok
06-2022-QH15,True,True,ok
07-1998-QH10,True,True,ok
07-2003-QH11,True,True,ok
07-2007-QH12,True,True,ok
07-2012-QH13,True,True,ok
07-2017-QH14,True,True,ok
07-2022-QH15,True,True,ok
08-1998-QH10,True,True,ok
08-2003-QH11,True,True,ok
08-2007-QH12,True,True,ok
08-2012-QH13,True,True,ok
08-2017-QH14,True,True,ok
08-2022-QH15,True,True,ok
09-1998-QH10,True,True,ok
09-2003-QH11,True,True,ok
09-2008-QH12,True,True,ok
09-2012-QH13,True,True,ok
09-2017-QH14,True,True,ok
09-2022-QH15,True,True,ok
1 L-CTN,True,True,ok
1-LCT-HĐNN7,True,True,ok
10-1998-QH10,True,True,ok
10-2003-QH11,True,True,ok
10-2008-QH12,True,True,ok
10-2012-QH13,True,True,ok
10-2017-QH14,True,True,ok
10-2022-QH15,True,True,ok
100-2015-QH13,True,True,ok
100-SL-L.002,True,True,ok
101-2015-QH13,True,True,ok
102-2016-QH13,True,True,ok
102-SL-L.004,True,True,ok
103-2016-QH13,True,True,ok
103-SL-L.005,True,False,missing_parsed
104-2016-QH13,True,True,ok
105-2016-QH13,True,True,ok
106-2016-QH13,True,True,ok
107-2016-QH13,True,True,ok
108-2016-QH13,True,True,ok
108-SL-L.10,True,False,missing_parsed
11-1998-QH10,True,True,ok
11-2003-QH11,True,True,ok
11-2008-QH12,True,True,ok
11-2012-QH13,True,True,ok
11-2017-QH14,True,True,ok
11-2022-QH15,True,True,ok
11-LCT-HĐNN7,True,True,ok
11-LCT-HĐNN8,True,True,ok
11-SL,True,False,missing_parsed
110-SL-L011,True,False,missing_parsed
12-1999-QH10,True,True,ok
12-2003-QH11,True,True,ok
12-2008-QH12,True,True,ok
12-2012-QH13,True,True,ok
12-2017-QH14,True,True,ok
12-2022-QH15,True,True,ok
12-LCT-HĐNN8,True,True,ok
13-1999-QH10,True,True,ok
13-2003-QH11,True,True,ok
13-2008-QH12,True,True,ok
13-2012-QH13,True,True,ok
13-2017-QH14,True,True,ok
13-2022-QH15,True,True,ok
13-LCT-HĐNN7,True,True,ok
14-1999-QH10,True,True,ok
14-2008-QH12,True,True,ok
14-2012-QH13,True,True,ok
14-2017-QH14,True,True,ok
14-2022-QH15,True,True,ok
15-1999-QH10,True,True,ok
15-2003-QH11,False,True,missing_html
15-2008-QH12,True,True,ok
15-2012-QH13,True,True,ok
15-2017-QH14,True,True,ok
15-2023-QH15,True,True,ok
16-1999-QH10,True,True,ok
16-2003-QH11,True,True,ok
16-2008-QH12,True,True,ok
16-2012-QH13,True,True,ok
16-2017-QH14,True,True,ok
16-2023-QH15,True,True,ok
17-1999-QH10,True,True,ok
17-2003-QH11,True,True,ok
17-2008-QH12,True,True,ok
17-2012-QH13,True,True,ok
17-2017-QH14,True,True,ok
17-2023-QH15,False,True,missing_html
17-L-CTN,True,True,ok
17-LCT,True,False,missing_parsed
17-LCT-HĐNN7,True,True,ok
18-2000-QH10,True,True,ok
18-2003-QH11,True,True,ok
18-2008-QH12,True,True,ok
18-2012-QH13,True,True,ok
18-2017-QH14,True,True,ok
18-2023-QH15,True,True,ok
18-L-CTN,True,True,ok
18-LCT,True,False,missing_parsed
19-2000-QH10,True,True,ok
19-2003-QH11,True,True,ok
19-2008-QH12,True,True,ok
19-2012-QH13,True,True,ok
19-2017-QH14,True,True,ok
19-2023-QH15,True,True,ok
19-L-CTN,True,True,ok
19-LCT,True,False,missing_parsed
19-LCT-HĐNN8,True,True,ok
197-SL,True,True,ok
2-LCT-HĐNN7,True,True,ok
2-LCTN,True,True,ok
2-SL,True,True,ok
20-2000-QH10,True,True,ok
20-2004-QH11,True,True,ok
20-2008-QH12,True,True,ok
20-2012-QH13,True,True,ok
20-2017-QH14,True,True,ok
20-2023-QH15,True,True,ok
20-L-CTN,True,True,ok
20-LCT-HĐNN8,True,True,ok
21-2000-QH10,True,True,ok
21-2004-QH11,True,True,ok
21-2008-QH12,True,True,ok
21-2012-QH13,True,True,ok
21-2017-QH14,True,True,ok
21-2023-QH15,True,True,ok
21-L-CTN,True,True,ok
21-LCT-HĐNN7,True,True,ok
21-LCT-HĐNN8,True,True,ok
22-2000-QH10,True,True,ok
22-2004-QH11,True,True,ok
22-2008-QH12,True,True,ok
22-2012-QH13,True,True,ok
22-2018-QH14,True,True,ok
22-2023-QH15,True,True,ok
22-L-CTN,True,True,ok
23-2000-QH10,True,True,ok
23-2004-QH11,True,True,ok
23-2008-QH12,True,True,ok
23-2012-QH13,True,True,ok
23-2018-QH14,True,True,ok
23-2023-QH15,True,True,ok
23-L-CTN,True,True,ok
24-2000-QH10,True,True,ok
24-2004-QH11,True,True,ok
24-2008-QH12,True,True,ok
24-2012-QH13,True,True,ok
24-2018-QH14,True,True,ok
24-2023-QH15,True,True,ok
24-L-CTN,True,True,ok
25-2001-QH10,True,True,ok
25-2004-QH11,True,True,ok
25-2008-QH12,True,True,ok
25-2012-QH13,True,True,ok
25-2018-QH14,True,True,ok
25-2023-QH15,True,True,ok
250-LCT,True,True,ok
26-2001-QH10,True,True,ok
26-2004-QH11,True,True,ok
26-2008-QH12,True,True,ok
26-2012-QH13,True,True,ok
26-2018-QH14,True,True,ok
26-2023-QH15,True,True,ok
27-2001-QH10,True,True,ok
27-2004-QH11,True,True,ok
27-2008-QH12,True,True,ok
27-2012-QH13,True,True,ok
27-2018-QH14,True,True,ok
27-2023-QH15,True,True,ok
270b-NQ-HĐNN8,True,True,ok
28-2001-QH10,True,True,ok
28-2004-QH11,True,True,ok
28-2009-QH12,True,True,ok
28-2013-QH13,True,True,ok
28-2018-QH14,True,True,ok
28-2023-QH15,True,True,ok
29-2001-QH10,True,True,ok
29-2004-QH11,True,True,ok
29-2009-QH12,True,True,ok
29-2013-QH13,True,True,ok
29-2018-QH14,True,True,ok
29-2023-QH15,True,True,ok
29-L-CTN,True,True,ok
29-LCT-HĐNN8,True,True,ok
3-LCT-HĐNN7,True,True,ok
3-LCT-HĐNN8,True,True,ok
30-2001-QH10,True,True,ok
30-2004-QH11,True,True,ok
30-2009-QH12,True,True,ok
30-2013-QH13,True,True,ok
30-2018-QH14,True,True,ok
30-2023-QH15,True,True,ok
30-L-CTN,True,True,ok
30-LCT-HĐNN8,True,True,ok
31-2001-QH10,True,True,ok
31-2004-QH11,True,True,ok
31-2009-QH12,True,True,ok
31-2013-QH13,True,True,ok
31-2018-QH14,True,True,ok
31-2024-QH15,True,True,ok
32-2001-QH10,True,True,ok
32-2004-QH11,True,True,ok
32-2009-QH12,True,True,ok
32-2013-QH13,True,True,ok
32-2018-QH14,True,True,ok
32-2024-QH15,True,True,ok
33-2002-QH10,True,True,ok
33-2005-QH11,True,True,ok
33-2009-QH12,True,True,ok
33-2013-QH13,True,True,ok
33-2018-QH14,True,True,ok
33-2024-QH15,True,True,ok
34-2002-QH10,True,True,ok
34-2005-QH11,True,True,ok
34-2009-QH12,True,True,ok
34-2018-QH14,True,True,ok
34-2024-QH15,True,True,ok
35-2002-QH10,True,True,ok
35-2005-QH11,True,True,ok
35-2009-QH12,True,True,ok
35-2013-QH13,True,True,ok
35-2018-QH14,True,True,ok
35-2024-QH15,True,True,ok
35-L-CTN,True,True,ok
36-2005-QH11,True,True,ok
36-2009-QH12,True,True,ok
36-2013-QH13,True,True,ok
36-2018-QH14,True,True,ok
36-2024-QH15,True,True,ok
37-2005-QH11,True,True,ok
37-2009-QH12,True,True,ok
37-2013-QH13,True,True,ok
37-2018-QH14,True,True,ok
37-2024-QH15,True,True,ok
38-2005-QH11,True,True,ok
38-2009-QH12,True,True,ok
38-2013-QH13,True,True,ok
38-2019-QH14,True,True,ok
38-2024-QH15,True,True,ok
39-2005-QH11,True,True,ok
39-2009-QH12,True,True,ok
39-2013-QH13,True,True,ok
39-2019-QH14,True,True,ok
39-2024-QH15,True,True,ok
39-L-CTN,True,True,ok
39-LCT-HĐNN8,True,True,ok
4-L-CTN,True,True,ok
4-LCT-HĐNN8,True,True,ok
40-2005-QH11,True,True,ok
40-2009-QH12,True,True,ok
40-2013-QH13,True,True,ok
40-2019-QH14,True,True,ok
40-2024-QH15,True,True,ok
40-LCT-HĐNN8,True,True,ok
41-2005-QH11,True,True,ok
41-2009-QH12,True,True,ok
41-2013-QH13,True,True,ok
41-2019-QH14,True,True,ok
41-2024-QH15,True,True,ok
41-LCT-HĐNN8,True,True,ok
42-2005-QH11,True,True,ok
42-2009-QH12,True,True,ok
42-2013-QH13,True,True,ok
42-2019-QH14,True,True,ok
42-2024-QH15,True,True,ok
42-LCT-HĐNN8,True,True,ok
43-2005-QH11,True,True,ok
43-2009-QH12,True,True,ok
43-2013-QH13,True,True,ok
43-2019-QH14,True,True,ok
43-2024-QH15,True,True,ok
43-L-CTN,True,True,ok
44-2005-QH11,True,True,ok
44-2009-QH12,True,True,ok
44-2013-QH13,True,True,ok
44-2019-QH14,True,True,ok
44-2024-QH15,True,True,ok
44-L-CTN,True,True,ok
45-2005-QH11,True,True,ok
45-2009-QH12,True,True,ok
45-2013-QH13,True,True,ok
45-2019-QH14,True,True,ok
45-2024-QH15,True,True,ok
45-LCT,True,True,ok
45-LCT-HĐNN8,True,True,ok
46-2005-QH11,True,True,ok
46-2010-QH12,True,True,ok
46-2014-QH13,True,True,ok
46-2019-QH14,True,True,ok
46-2024-QH15,True,True,ok
46-LCT-HĐNN8,True,True,ok
47-2005-QH11,True,True,ok
47-2010-QH12,True,True,ok
47-2014-QH13,True,True,ok
47-2019-QH14,True,True,ok
47-2024-QH15,True,True,ok
47-L-CTN,True,True,ok
47-LCT-HĐNN8,True,True,ok
48-2005-QH11,True,True,ok
48-2010-QH12,True,True,ok
48-2014-QH13,True,True,ok
48-2019-QH14,True,True,ok
48-2024-QH15,True,True,ok
48-LCT-HĐNN8,True,True,ok
49-2005-QH11,True,True,ok
49-2010-QH12,True,True,ok
49-2014-QH13,True,True,ok
49-2019-QH14,True,True,ok
49-2024-QH15,True,True,ok
5-L-CTN,True,True,ok
5-LCT-HĐNN8,True,True,ok
50-2005-QH11,True,True,ok
50-2010-QH12,True,True,ok
50-2014-QH13,True,True,ok
50-2019-QH14,True,True,ok
50-2024-QH15,True,True,ok
50-LCT,True,False,missing_parsed
51-2005-QH11,True,True,ok
51-2010-QH12,True,True,ok
51-2014-QH13,True,True,ok
51-2019-QH14,True,True,ok
51-2024-QH15,True,True,ok
52-2005-QH11,True,True,ok
52-2010-QH12,True,True,ok
52-2014-QH13,True,True,ok
52-2019-QH14,True,True,ok
52-2024-QH15,True,True,ok
52-L-CTN,True,True,ok
53-2005-QH11,True,True,ok
53-2010-QH12,True,True,ok
53-2014-QH13,True,True,ok
53-2019-QH14,True,True,ok
53-2024-QH15,True,True,ok
54-2005-QH11,True,True,ok
54-2010-QH12,True,True,ok
54-2014-QH13,True,True,ok
54-2019-QH14,True,True,ok
54-2024-QH15,True,True,ok
55-2005-QH11,True,True,ok
55-2010-QH12,True,True,ok
55-2014-QH13,True,True,ok
55-2019-QH14,True,True,ok
55-2024-QH15,True,True,ok
55-LCT-HĐNN8,True,True,ok
56-2005-QH11,True,True,ok
56-2010-QH12,True,True,ok
56-2014-QH13,True,True,ok
56-2020-QH14,True,True,ok
56-2024-QH15,True,True,ok
56-LCT-HĐNN8,True,True,ok
57-2005-QH11,True,True,ok
57-2010-QH12,True,True,ok
57-2014-QH13,True,True,ok
57-2020-QH14,True,True,ok
57-2024-QH15,True,True,ok
57-L-CTN,True,True,ok
57-LCT-HĐNN8,True,True,ok
58-2005-QH11,True,True,ok
58-2010-QH12,True,True,ok
58-2014-QH13,True,True,ok
58-2020-QH14,True,True,ok
58-2024-QH15,True,True,ok
58-L-CTN,True,True,ok
58-LCT-HĐNN8,True,True,ok
59-2005-QH11,True,True,ok
59-2010-QH12,True,True,ok
59-2014-QH13,True,True,ok
59-2020-QH14,True,True,ok
59-2024-QH15,True,True,ok
6-L-CTN,True,True,ok
6-LCT-HĐNN7,True,True,ok
60-2005-QH11,True,True,ok
60-2010-QH12,True,True,ok
60-2014-QH13,True,True,ok
60-2020-QH14,True,True,ok
60-2024-QH15,True,True,ok
61-2005-QH11,True,True,ok
61-2010-QH12,True,True,ok
61-2014-QH13,True,True,ok
61-2020-QH14,True,True,ok
61-2024-QH15,True,True,ok
62-2006-QH11,True,True,ok
62-2010-QH12,True,True,ok
62-2014-QH13,True,True,ok
62-2020-QH14,True,True,ok
62-2025-QH15,True,True,ok
63-2006-QH11,True,True,ok
63-2010-QH12,True,True,ok
63-2014-QH13,True,True,ok
63-2020-QH14,True,True,ok
63-2025-QH15,True,True,ok
63-LCT-HĐNN8,True,True,ok
64-2006-QH11,True,True,ok
64-2010-QH12,True,True,ok
64-2014-QH13,True,True,ok
64-2020-QH14,True,True,ok
64-2025-QH15,True,True,ok
64-LCT-HĐNN8,True,True,ok
65-2006-QH11,True,True,ok
65-2011-QH12,True,True,ok
65-2014-QH13,True,True,ok
65-2020-QH14,True,True,ok
65-2025-QH15,True,True,ok
66-2006-QH11,True,True,ok
66-2011-QH12 ,True,True,ok
66-2014-QH13,True,True,ok
66-2020-QH14,True,True,ok
66-LCT-HĐNN8,True,True,ok
67-2006-QH11,True,True,ok
67-2011-QH12,True,True,ok
67-2014-QH13,True,True,ok
67-2020-QH14,True,True,ok
67-2025-QH15,True,False,missing_parsed
67-LCT-HĐNN8,True,True,ok
68-2006-QH11,True,True,ok
68-2014-QH13,True,True,ok
68-2020-QH14,True,True,ok
68-2025-QH15,True,False,missing_parsed
69-2006-QH11,True,True,ok
69-2014-QH13,True,True,ok
69-2020-QH14,True,True,ok
69-2025-QH15,True,False,missing_parsed
7-LCT-HĐNN8,True,True,ok
70-2006-QH11,True,True,ok
70-2014-QH13,True,True,ok
70-2020-QH14,True,True,ok
71-2006-QH11,True,True,ok
71-2014-QH13,True,True,ok
71-2020-QH14,True,True,ok
72-2006-QH11,True,True,ok
72-2014-QH13,True,True,ok
72-2020-QH14,True,True,ok
72-2025-QH15,True,False,missing_parsed
73-2006-QH11,True,True,ok
73-2014-QH13,True,True,ok
73-2021-QH14,True,True,ok
73-2025-QH15,True,False,missing_parsed
74-2006-QH11,True,True,ok
74-2014-QH13,True,True,ok
75-2006-QH11,True,True,ok
75-2015-QH13,True,True,ok
75-2025-QH15,True,False,missing_parsed
76-2006-QH11,True,True,ok
76-2015-QH13,True,True,ok
76-2025-QH15,True,False,missing_parsed
77-2006-QH11,True,True,ok
77-2015-QH13,True,True,ok
78-2006-QH11,True,True,ok
78-2015-QH13,True,True,ok
79-2006-QH11,True,True,ok
79-2015-QH13,True,True,ok
79-2025-QH15,True,False,missing_parsed
8-LCT-HĐNN8,True,True,ok
80-2006-QH11,True,True,ok
80-2015-QH13,True,True,ok
80-2025-QH15,True,False,missing_parsed
81-2006-QH11,True,True,ok
81-2015-QH13,True,True,ok
81-2025-QH15,True,False,missing_parsed
82-2006-QH11,True,True,ok
82-2015-QH13,True,True,ok
82-2025-QH15,True,False,missing_parsed
83-2007-QH11,True,True,ok
83-2015-QH13,True,True,ok
84-2007-QH11,True,True,ok
84-2015-QH13,True,True,ok
84-2025-QH15,True,False,missing_parsed
85-2015-QH13,True,True,ok
85-2025-QH15,True,False,missing_parsed
86-2015-QH13,True,True,ok
86-2025-QH15,True,False,missing_parsed
87-2015-QH13,True,True,ok
87-2025-QH15,True,False,missing_parsed
88-2015-QH13,True,True,ok
88-2025-QH15,True,False,missing_parsed
89-2015-QH13,True,True,ok
90-2015-QH13,True,True,ok
90-2025-QH15,True,False,missing_parsed
91-2015-QH13,True,True,ok
92-2015-QH13,True,True,ok
93-2015-QH13,True,True,ok
94-2015-QH13,True,True,ok
95-2015-QH13,True,True,ok
95-2025-QH15,True,False,missing_parsed
96-2015-QH13,True,True,ok
97-2015-QH13,True,True,ok
98-2015-QH13,True,True,ok
99-2015-QH13,True,True,ok
99-2025-QH15,True,False,missing_parsed
